"CurrencyKey","DateKey","AverageRate","EndOfDayRate"
3,20050701,1.0,0.999800039992002
3,20050702,1.0,1.00090081072966
3,20050703,1.0,0.999600159936026
3,20050704,1.0,1.0
3,20050705,1.0,0.999600159936026
3,20050706,1.0,1.00050025012506
3,20050707,1.0,0.999500249875062
3,20050708,1.0,1.000200040008
3,20050709,1.0,0.999200639488409
3,20050710,1.0,1.000200040008
3,20050711,1.0,0.999600159936026
3,20050712,1.0,1.00090081072966
3,20050713,1.0,0.999600159936026
3,20050714,1.0,1.00080064051241
3,20050715,1.0,0.99930048965724
3,20050716,1.0,1.001001001001
3,20050717,1.0,0.99930048965724
3,20050718,1.0,1.00090081072966
3,20050719,1.0,0.999900009999
3,20050720,1.0,1.00070049034324
3,20050721,1.0,0.999600159936026
3,20050722,1.0,1.00050025012506
3,20050723,1.0,0.999600159936026
3,20050724,1.0,1.001001001001
3,20050725,1.0,1.0
3,20050726,1.00040016006403,1.00110121133247
3,20050727,1.00040016006403,1.00030009002701
3,20050728,1.00040016006403,1.00070049034324
3,20050729,1.00040016006403,0.999800039992002
3,20050730,1.00040016006403,1.001001001001
3,20050731,1.00040016006403,0.999900009999
3,20050801,1.00040016006403,1.00110121133247
3,20050802,1.00040016006403,0.999600159936026
3,20050803,1.00040016006403,1.001001001001
3,20050804,1.00040016006403,1.00030009002701
3,20050805,1.00040016006403,1.00090081072966
3,20050806,1.00040016006403,0.999600159936026
3,20050807,1.00040016006403,1.00090081072966
3,20050808,1.00040016006403,1.0
3,20050809,1.00040016006403,1.00070049034324
3,20050810,1.00040016006403,0.999600159936026
3,20050811,1.00040016006403,1.00090081072966
3,20050812,1.00040016006403,0.999700089973008
3,20050813,1.00040016006403,1.00050025012506
3,20050814,1.000100010001,1.000100010001
3,20050815,1.000200040008,1.001001001001
3,20050816,1.000100010001,0.999700089973008
3,20050817,1.000100010001,1.000200040008
3,20050818,1.000100010001,0.999500249875062
3,20050819,1.000100010001,1.001001001001
3,20050820,1.000100010001,0.999900009999
3,20050821,1.000100010001,1.00070049034324
3,20050822,1.000100010001,1.0
3,20050823,1.000100010001,1.000100010001
3,20050824,1.00040016006403,1.000100010001
3,20050825,1.00040016006403,1.00120144173008
3,20050826,1.00040016006403,1.0
3,20050827,1.000100010001,1.000100010001
3,20050828,1.000100010001,0.999700089973008
3,20050829,1.000100010001,1.001001001001
3,20050830,1.000200040008,0.999700089973008
3,20050831,1.00080064051241,1.00110121133247
3,20050901,1.00080064051241,1.00040016006403
3,20050902,1.00080064051241,1.001001001001
3,20050903,1.000100010001,0.999600159936026
3,20050904,1.000100010001,1.001001001001
3,20050905,1.000200040008,0.999900009999
3,20050906,1.000200040008,1.00040016006403
3,20050907,1.00050025012506,0.999900009999
3,20050908,1.00050025012506,1.001001001001
3,20050909,1.00050025012506,1.0
3,20050910,1.000100010001,1.00040016006403
3,20050911,1.000200040008,0.999900009999
3,20050912,1.000200040008,1.00110121133247
3,20050913,1.000200040008,0.999900009999
3,20050914,1.0,1.00090081072966
3,20050915,1.0,0.999800039992002
3,20050916,1.0,1.00030009002701
3,20050917,1.000200040008,0.999600159936026
3,20050918,1.000200040008,1.00080064051241
3,20050919,1.000200040008,1.000100010001
3,20050920,1.000200040008,1.00110121133247
3,20050921,1.00070049034324,1.000200040008
3,20050922,1.00070049034324,1.00080064051241
3,20050923,1.00070049034324,0.999600159936026
3,20050924,1.000200040008,1.00110121133247
3,20050925,1.000200040008,1.000200040008
3,20050926,1.000200040008,1.00080064051241
3,20050927,1.000200040008,0.999500249875062
3,20050928,1.00623867981485,1.00644122383253
3,20050929,1.00623867981485,1.00603621730382
3,20050930,1.00623867981485,1.00633994163228
3,20051001,1.000200040008,0.999600159936026
3,20051002,1.000200040008,1.00080064051241
3,20051003,1.000200040008,0.999600159936026
3,20051004,1.000200040008,1.00120144173008
3,20051005,1.00080064051241,0.999700089973008
3,20051006,1.00080064051241,1.00110121133247
3,20051007,1.00080064051241,0.999900009999
3,20051008,1.000200040008,1.000200040008
3,20051009,1.000100010001,0.999800039992002
3,20051010,1.000200040008,1.00110121133247
3,20051011,1.000200040008,0.999800039992002
3,20051012,1.00050025012506,1.00130169219986
3,20051013,1.00050025012506,0.999600159936026
